Id,username,name,is_crawled
740,user740,Adventurous Cormorant,False
741,user741,Adventurous Coyote,False
742,user742,Adventurous Crab,False
743,user743,Adventurous Crane,False
744,user744,Adventurous Crocodile,False
745,user745,Adventurous Crow,False
746,user746,Adventurous Curlew,False
747,user747,Adventurous Deer,False
748,user748,Adventurous Dinosaur,False
749,user749,Adventurous Dog,False
750,user750,Adventurous Dogfish,False
751,user751,Adventurous Dolphin,False
752,user752,Adventurous Donkey,False
753,user753,Adventurous Dotterel,False
754,user754,Adventurous Dove,False
755,user755,Adventurous Dragonfly,False
756,user756,Adventurous Duck,False
757,user757,Adventurous Dugong,False
758,user758,Adventurous Dunlin,False
759,user759,Adventurous Eagle,False
760,user760,Adventurous Echidna,False
761,user761,Adventurous Eel,False
762,user762,Adventurous Eland,False
763,user763,Adventurous Elephant,False
764,user764,Adventurous Elephant seal,False
765,user765,Adventurous Elk,False
766,user766,Adventurous Emu,False
767,user767,Adventurous Falcon,False
768,user768,Adventurous Ferret,False
769,user769,Adventurous Finch,False
770,user770,Adventurous Fish,False
771,user771,Adventurous Flamingo,False
772,user772,Adventurous Fly,False
773,user773,Adventurous Fox,False
774,user774,Adventurous Frog,False
775,user775,Adventurous Gaur,False
776,user776,Adventurous Gazelle,False
777,user777,Adventurous Gerbil,False
778,user778,Adventurous Giant panda,False
779,user779,Adventurous Giraffe,False
780,user780,Adventurous Gnat,False
781,user781,Adventurous Gnu,False
782,user782,Adventurous Goat,False
783,user783,Adventurous Goldfinch,False
784,user784,Adventurous Goosander,False
785,user785,Adventurous Goose,False
786,user786,Adventurous Gorilla,False
787,user787,Adventurous Goshawk,False
788,user788,Adventurous Grasshopper,False
789,user789,Adventurous Grouse,False
790,user790,Adventurous Guanaco,False
791,user791,Adventurous Guinea fowl,False
792,user792,Adventurous Guinea pig,False
793,user793,Adventurous Gull,False
794,user794,Adventurous Hamster,False
795,user795,Adventurous Hare,False
796,user796,Adventurous Hawk,False
797,user797,Adventurous Hedgehog,False
798,user798,Adventurous Heron,False
799,user799,Adventurous Herring,False
800,user800,Adventurous Hippo,False
801,user801,Adventurous Hornet,False
802,user802,Adventurous Horse,False
803,user803,Adventurous Hummingbird,False
804,user804,Adventurous Hyena,False
805,user805,Adventurous Ibex,False
806,user806,Adventurous Ibis,False
807,user807,Adventurous Impala,False
